numords,totdol,last,buyer,dollars,rfm1,rfm2
1,19,868,no,0,555,555
1,29,723,no,0,455,455
3,252,35,no,0,142,132
1,134,478,no,0,352,354
1,44,350,no,0,354,355
1,24,18,no,0,155,155
6,919,1,no,0,121,111
2,36,946,no,0,535,545
5,445,660,no,0,414,422
3,356,297,no,0,232,232
4,317,203,no,0,223,222
1,19,394,no,0,355,355
1,44,339,no,0,254,255
1,79,260,no,0,253,254
6,492,749,no,0,513,511
4,384,107,no,0,132,122
8,873,191,no,0,213,211
8,243,121,no,0,125,112
3,281,21,no,0,142,132
1,83,227,no,0,253,254
1,59,1025,no,0,554,555
15,930,108,no,0,114,111
5,324,102,no,0,133,122
1,161,759,no,0,552,553
1,99,396,no,0,352,354
14,647,337,no,0,214,211
2,258,745,no,0,432,442
1,35,806,no,0,555,555
35,1012,39,no,0,114,111
10,1095,130,no,0,121,111
4,152,220,no,0,225,223
8,748,365,no,0,312,311
2,78,210,no,0,245,244
3,92,721,no,0,425,434
2,193,926,no,0,533,543
3,167,588,no,0,424,433
12,641,393,no,0,313,311
10,1603,805,no,0,511,511
5,371,225,no,0,223,222
2,188,837,no,0,533,543
4,289,298,no,0,224,222
3,466,756,no,0,521,531
7,193,22,no,0,125,113
10,586,14,no,0,122,111
1,149,675,no,0,452,453
9,422,29,no,0,124,112
7,1784,366,no,0,311,311
2,71,996,no,0,535,545
8,1281,1003,no,0,511,511
22,1733,177,no,0,211,211
3,115,65,no,0,144,134
2,138,11,no,0,144,144
3,217,647,no,0,423,433
4,333,67,no,0,133,122
10,566,25,no,0,123,111
8,506,865,no,0,513,511
5,445,294,no,0,222,222
2,88,487,no,0,345,344
5,1087,1031,no,0,511,521
6,792,46,no,0,121,111
1,124,1102,no,0,552,554
2,50,724,no,0,435,445
8,1178,595,no,0,411,411
1,269,997,no,0,551,552
2,161,624,no,0,433,443
6,865,339,no,0,221,211
1,71,848,no,0,553,555
10,380,33,no,0,124,112
1,189,788,no,0,551,553
1,59,770,no,0,554,555
1,19,732,no,0,455,455
1,269,724,no,0,451,452
5,665,393,no,0,321,321
11,1170,11,no,0,113,111
7,403,17,no,0,124,112
1,59,567,no,0,454,455
5,545,291,no,0,222,221
2,193,382,no,0,342,343
2,48,506,no,0,345,345
1,99,382,no,0,352,354
1,129,381,no,0,352,354
3,279,36,no,0,142,132
1,49,366,no,0,354,355
1,11,134,no,0,155,155
1,30,105,no,0,155,155
1,89,100,no,0,153,154
1,219,53,no,0,151,153
1,29,45,no,0,155,155
1,69,24,no,0,153,155
6,278,857,no,0,515,512
4,593,564,no,0,421,421
2,80,479,no,0,345,344
3,339,18,no,0,141,132
3,292,366,no,0,332,332
5,177,42,no,0,135,123
6,370,154,no,0,223,212
7,606,4,yes,70,122,111
1,49,1095,no,0,554,555
2,98,304,no,0,244,244
1,44,94,no,0,154,155
75,5167,81,no,0,111,111
7,585,611,no,0,413,411
4,273,242,no,0,224,222
4,1630,11,no,0,131,121
2,263,625,no,0,431,442
9,736,193,no,0,213,211
3,320,431,no,0,332,332
7,560,53,no,0,123,111
1,137,1114,no,0,552,554
3,150,53,no,0,144,133
2,198,599,no,0,432,443
2,208,368,no,0,342,343
1,71,478,no,0,353,355
1,159,426,no,0,351,353
3,395,4,no,0,141,132
2,98,57,yes,140,145,144
9,403,8,no,0,124,112
2,178,513,no,0,343,343
8,401,430,no,0,314,312
3,678,646,no,0,421,431
2,173,4,yes,136,143,143
1,44,478,no,0,354,355
1,99,371,no,0,352,354
2,128,220,no,0,244,244
7,244,43,no,0,125,112
2,388,917,no,0,531,542
9,800,361,no,0,312,311
4,486,147,no,0,222,221
2,283,158,no,0,241,242
1,49,199,no,0,254,255
1,77,78,no,0,153,154
49,3734,716,no,0,411,411
5,867,463,no,0,321,321
1,17,918,no,0,555,555
2,39,898,no,0,535,545
2,198,478,no,0,342,343
1,61,347,no,0,353,355
1,162,73,no,0,151,153
3,217,39,no,0,143,133
22,1258,58,no,0,113,111
11,712,100,no,0,114,111
1,59,738,no,0,454,455
1,104,241,no,0,252,254
1,99,91,no,0,153,154
1,139,17,no,0,152,154
14,371,25,no,0,115,112
2,158,24,no,0,144,143
3,427,739,no,0,421,432
4,335,497,no,0,323,322
4,147,421,no,0,325,323
3,71,373,no,0,335,335
6,937,99,no,0,121,111
6,473,798,no,0,513,511
1,29,982,no,0,555,555
5,211,39,no,0,134,123
1,19,907,no,0,555,555
2,185,423,no,0,342,343
2,168,353,no,0,343,343
4,393,200,no,0,223,222
9,336,336,no,0,215,212
3,796,242,no,0,231,231
6,984,67,no,0,121,111
5,1011,10,no,0,131,121
2,74,95,no,0,145,145
2,140,843,no,0,534,544
3,654,455,no,0,331,331
1,79,917,no,0,553,554
1,49,745,no,0,454,455
1,269,39,no,0,151,152
7,172,8,no,0,125,113
2,256,497,no,0,342,342
5,262,4,no,0,134,122
4,1050,567,no,0,421,421
86,5672,149,no,0,211,211
1,27,1012,no,0,555,555
1,62,123,no,0,153,155
1,74,32,no,0,153,155
20,1284,58,no,0,113,111
7,479,952,no,0,513,511
5,698,308,no,0,221,221
3,237,588,no,0,423,433
1,74,429,no,0,353,355
1,159,298,no,0,251,253
4,439,728,no,0,421,422
5,205,225,no,0,225,223
1,164,172,no,0,251,253
6,406,346,no,0,223,212
2,198,513,no,0,342,343
19,963,716,no,0,411,411
2,96,39,no,0,145,144
1,92,100,no,0,153,154
3,146,430,no,0,334,333
28,1548,25,no,0,112,111
3,258,445,no,0,333,332
4,285,634,no,0,423,422
2,140,751,no,0,534,544
4,347,973,no,0,522,522
1,209,660,no,0,451,453
1,59,487,no,0,354,355
15,1370,478,no,0,311,311
82,3345,30,no,0,111,111
3,487,765,no,0,521,531
5,193,46,no,0,135,123
4,166,87,no,0,135,123
9,1638,53,no,0,121,111
2,112,1023,no,0,534,544
1,19,441,no,0,355,355
1,39,912,no,0,555,555
2,218,451,no,0,342,343
15,316,645,no,0,414,412
1,26,492,no,0,355,355
2,204,266,no,0,242,243
1,42,196,no,0,254,255
16,769,493,no,0,312,311
9,518,438,no,0,314,311
2,388,561,no,0,431,442
4,570,46,no,0,131,121
1,62,861,no,0,554,555
1,449,765,no,0,551,551
1,64,319,no,0,253,255
3,237,67,no,0,142,133
1,12,130,no,0,155,155
26,612,317,no,0,214,211
17,698,18,no,0,115,111
15,2348,248,no,0,211,211
6,345,102,no,0,124,112
6,780,368,no,0,312,311
3,448,604,no,0,421,432
2,408,1099,no,0,531,542
13,1587,95,no,0,112,111
3,517,71,no,0,141,131
2,201,904,no,0,532,543
2,54,884,no,0,535,545
10,670,426,no,0,313,311
4,231,28,no,0,134,123
2,142,493,no,0,343,343
2,125,275,no,0,244,244
2,173,459,no,0,343,343
2,143,389,no,0,343,343
1,199,15,no,0,151,153
13,1025,569,no,0,411,411
3,182,204,no,0,234,233
1,39,242,no,0,254,255
9,651,18,no,0,122,111
1,89,177,no,0,253,254
2,308,25,no,0,142,142
38,1605,913,no,0,511,511
39,1596,39,yes,200,112,111
18,1070,596,no,0,411,411
4,123,53,no,0,135,124
10,855,72,no,0,121,111
1,203,981,no,0,551,553
4,251,805,no,0,523,522
4,374,176,no,0,223,222
2,128,410,no,0,344,344
4,401,1089,no,0,521,522
4,956,30,no,0,131,121
2,307,627,no,0,431,442
1,299,408,no,0,351,352
2,138,373,no,0,343,344
1,149,352,no,0,351,353
1,59,176,no,0,254,255
1,279,65,yes,200,151,152
41,4695,60,no,0,111,111
5,732,108,no,0,131,121
5,324,410,no,0,323,322
12,2236,4,no,0,111,111
1,388,1092,no,0,551,552
4,382,23,no,0,133,122
1,239,711,no,0,451,453
8,920,148,no,0,213,211
24,1016,35,no,0,114,111
5,690,142,no,0,221,221
5,207,35,no,0,134,123
1,59,351,no,0,354,355
19,1496,249,no,0,212,211
3,302,773,no,0,522,532
7,578,129,no,0,123,111
2,118,295,no,0,244,244
2,468,588,no,0,431,441
7,403,49,no,0,124,112
2,88,703,no,0,434,444
40,2770,114,no,0,111,111
23,2287,102,no,0,111,111
7,485,833,no,0,513,511
3,117,366,no,0,335,334
3,114,361,no,0,335,334
2,102,840,no,0,535,544
3,441,9,no,0,141,132
2,188,1107,no,0,533,543
2,198,319,no,0,242,243
1,19,1110,no,0,555,555
3,227,742,no,0,423,433
1,161,1033,no,0,552,553
2,92,588,no,0,434,444
1,39,910,no,0,555,555
2,174,767,no,0,533,543
1,29,746,no,0,455,455
6,776,560,yes,130,412,411
4,557,1,no,0,131,121
3,253,109,no,0,142,132
1,101,400,no,0,352,354
2,223,358,no,0,342,343
1,259,309,no,0,251,252
1,89,114,no,0,153,154
1,39,9,no,0,155,155
21,1527,25,no,0,112,111
25,1140,639,no,0,411,411
21,624,427,no,0,313,311
3,390,732,yes,47,422,432
4,515,501,no,0,321,321
1,119,1115,no,0,552,554
2,61,487,no,0,345,345
2,1120,896,no,0,531,541
1,99,392,no,0,352,354
3,572,1,no,0,141,131
2,148,141,no,0,243,243
4,405,35,no,0,132,122
2,91,1114,no,0,535,544
5,185,1108,no,0,515,523
5,241,92,no,0,134,122
6,633,435,yes,280,313,311
4,97,478,no,0,325,324
9,592,169,no,0,214,211
1,59,206,no,0,254,255
3,420,60,no,0,141,132
29,589,631,no,0,413,411
5,804,738,no,0,412,421
7,338,318,yes,99,223,212
10,976,220,yes,50,213,211
5,177,361,no,0,325,323
5,1493,527,no,0,411,421
3,270,746,no,0,423,432
1,19,1087,no,0,555,555
1,59,900,no,0,554,555
1,103,890,no,0,553,554
6,446,323,no,0,222,212
4,421,442,no,0,322,322
4,116,669,no,0,425,424
2,174,267,no,0,243,243
1,79,599,no,0,453,454
1,19,597,no,0,455,455
3,121,135,no,0,144,134
1,99,305,no,0,252,254
40,2563,21,no,0,111,111
4,315,388,no,0,323,322
3,208,235,no,0,233,233
1,109,553,no,0,452,454
1,59,396,no,0,354,355
17,1040,494,no,0,312,311
2,89,116,no,0,145,144
1,104,10,no,0,152,154
3,229,29,no,0,142,133
3,458,753,no,0,521,531
7,426,381,no,0,314,312
6,522,109,no,0,123,111
1,107,1061,no,0,553,554
3,187,343,no,0,234,233
1,59,892,yes,90,554,555
9,890,430,yes,35,312,311
1,599,728,no,0,451,451
1,125,694,no,0,452,454
1,34,603,no,0,455,455
4,59,56,no,0,135,125
1,99,403,no,0,352,354
1,199,381,no,0,351,353
1,69,190,no,0,253,255
1,39,175,no,0,254,255
1,224,99,no,0,151,153
13,851,672,no,0,412,411
9,541,15,no,0,123,111
2,58,1010,no,0,535,545
1,27,395,no,0,355,355
6,275,253,no,0,224,212
14,805,94,no,0,114,111
23,886,60,no,0,114,111
4,197,203,no,0,225,223
25,3384,22,no,0,111,111
3,237,891,no,0,523,533
7,780,123,no,0,122,111
5,442,207,no,0,222,222
8,510,876,no,0,513,511
5,157,226,no,0,225,223
2,314,463,no,0,341,342
6,130,435,no,0,315,314
6,217,1081,no,0,515,513
12,568,414,no,0,313,311
3,247,87,no,0,142,132
6,401,31,no,0,124,112
2,403,30,no,0,141,142
5,592,11,no,0,131,121
10,790,6,no,0,121,111
9,715,11,no,0,122,111
4,202,931,no,0,524,523
2,90,298,no,0,244,244
1,71,478,no,0,353,355
2,310,1012,no,0,531,542
4,348,161,no,0,223,222
7,406,389,no,0,314,312
8,127,492,no,0,315,314
2,148,833,no,0,534,543
5,346,861,no,0,514,522
1,156,1022,no,0,552,553
2,224,980,no,0,532,543
2,148,931,no,0,534,543
7,264,437,no,0,315,312
1,99,967,no,0,553,554
6,458,311,no,0,222,211
11,1316,43,no,0,113,111
2,45,728,no,0,435,445
1,26,849,no,0,555,555
9,1281,59,no,0,121,111
6,736,56,no,0,122,111
2,73,93,no,0,145,145
1,159,722,no,0,451,453
4,108,122,no,0,135,124
2,309,560,no,0,431,442
4,76,441,no,0,325,324
2,168,2,yes,60,143,143
5,224,43,no,0,134,123
3,187,17,no,0,143,133
3,555,46,no,0,141,131
3,202,172,no,0,233,233
1,134,401,no,0,352,354
1,168,373,no,0,351,353
1,59,298,no,0,254,255
1,59,263,no,0,254,255
1,229,71,no,0,151,153
1,19,53,no,0,155,155
1,179,42,no,0,151,153
3,139,718,no,0,425,434
9,825,11,no,0,121,111
7,336,567,no,0,414,412
4,209,899,no,0,524,523
3,137,989,no,0,525,534
14,2240,25,no,0,111,111
5,388,354,no,0,322,322
2,132,129,no,0,144,144
2,97,757,no,0,535,544
2,368,245,no,0,241,242
1,104,1094,no,0,553,554
1,174,975,no,0,551,553
6,359,400,no,0,315,312
3,187,185,no,0,234,233
3,586,350,no,0,331,331
2,74,113,no,0,145,145
3,140,436,no,0,334,334
6,304,172,no,0,224,212
1,58,459,no,0,354,355
19,845,60,no,0,114,111
4,226,1072,no,0,523,523
2,236,109,no,0,142,143
1,149,743,no,0,452,453
1,89,680,no,0,453,454
1,25,487,no,0,355,355
1,119,269,yes,270,252,254
1,39,183,no,0,254,255
16,1245,233,no,0,212,211
3,150,959,no,0,524,533
2,186,423,no,0,342,343
4,386,18,no,0,132,122
1,129,809,no,0,552,554
2,83,158,no,0,245,244
52,3901,406,no,0,311,311
15,679,28,no,0,115,111
15,2323,928,no,0,511,511
17,787,113,no,0,114,111
4,536,494,no,0,321,321
7,1506,142,no,0,221,211
5,255,673,no,0,415,422
2,26,557,no,0,435,445
6,490,578,no,0,413,411
1,52,1024,no,0,554,555
3,179,837,no,0,524,533
1,26,864,no,0,555,555
1,400,829,no,0,551,552
3,322,283,no,0,232,232
5,648,15,no,0,131,121
2,238,114,no,0,142,143
1,99,494,no,0,352,354
1,39,368,no,0,354,355
2,138,211,no,0,243,244
1,99,44,no,0,153,154
1,8,25,no,0,155,155
13,792,155,no,0,213,211
6,296,366,no,0,315,312
3,147,633,no,0,425,433
1,190,987,no,0,551,553
1,240,693,no,0,451,453
2,119,799,no,0,534,544
1,74,10,no,0,153,155
10,1215,28,no,0,121,111
3,146,830,no,0,525,533
18,1248,38,no,0,113,111
2,301,634,no,0,431,442
4,277,744,no,0,423,422
3,145,232,no,0,234,233
2,118,51,no,0,144,144
2,102,630,no,0,434,444
1,286,407,no,0,351,352
1,19,35,no,0,155,155
1,19,28,no,0,155,155
1,159,22,no,0,151,153
1,39,21,no,0,155,155
7,469,112,no,0,123,111
7,338,858,no,0,514,512
1,34,858,no,0,555,555
1,62,857,no,0,554,555
10,1111,276,no,0,212,211
1,229,371,no,0,351,353
1,89,366,no,0,353,354
1,39,359,no,0,354,355
17,1690,66,no,0,112,111
2,369,771,no,0,531,542
1,12,203,no,0,255,255
1,19,423,no,0,355,355
11,564,95,no,0,115,111
4,118,616,no,0,425,424
2,94,1093,no,0,535,544
4,293,401,no,0,323,322
1,19,793,no,0,555,555
1,164,527,no,0,451,453
2,93,108,no,0,145,144
2,32,128,no,0,145,145
1,79,127,no,0,153,154
7,441,393,no,0,314,312
13,961,162,no,0,213,211
31,1580,23,no,0,112,111
13,921,857,no,0,511,511
7,629,301,no,0,221,211
3,174,365,no,0,334,333
2,127,504,no,0,344,344
3,689,42,no,0,141,131
7,275,98,no,0,125,112
1,119,1107,no,0,552,554
2,260,525,no,0,431,442
3,407,592,no,0,421,432
5,262,486,no,0,324,322
1,52,605,no,0,454,455
2,172,436,no,0,343,343
1,94,492,no,0,353,354
2,163,130,no,0,143,143
1,139,395,no,0,352,354
1,184,239,no,0,251,253
1,11,113,no,0,155,155
6,237,725,no,0,415,413
3,222,22,no,0,142,133
1,34,1109,no,0,555,555
2,198,93,no,0,143,143
4,274,716,no,0,423,422
1,101,787,no,0,553,554
3,101,37,no,0,145,134
2,98,553,no,0,434,444
1,99,596,no,0,453,454
3,139,123,no,0,144,134
3,229,27,no,0,142,133
1,116,114,no,0,152,154
1,79,46,no,0,153,154
7,761,14,no,0,122,111
42,2773,21,no,0,111,111
14,540,387,no,0,313,311
2,143,1015,no,0,534,543
6,249,851,no,0,515,512
5,359,437,no,0,323,322
18,2048,98,no,0,112,111
2,158,911,no,0,533,543
1,132,1099,no,0,552,554
1,79,1058,no,0,553,554
2,78,731,no,0,435,444
2,28,732,no,0,435,445
2,137,865,no,0,534,544
2,78,823,no,0,535,544
1,26,837,no,0,555,555
1,132,764,no,0,552,554
2,118,728,no,0,434,444
1,289,704,no,0,451,452
2,118,394,no,0,344,344
1,244,298,no,0,251,252
1,79,252,no,0,253,254
1,98,123,no,0,153,154
1,98,11,no,0,153,154
68,4203,21,no,0,111,111
6,323,350,no,0,315,312
3,704,35,no,0,141,131
1,129,539,no,0,452,454
2,158,347,no,0,343,343
1,89,133,no,0,153,154
1,304,18,no,0,151,152
4,85,1092,no,0,525,524
5,717,438,no,0,321,321
3,527,757,no,0,521,531
3,430,373,no,0,331,332
2,138,973,no,0,534,544
5,399,534,no,0,414,422
1,44,109,no,0,154,155
2,288,758,no,0,531,542
1,219,1047,no,0,551,553
1,59,710,no,0,454,455
1,89,655,no,0,453,454
4,777,437,no,0,321,321
3,159,102,no,0,144,133
1,44,462,no,0,354,355
1,64,346,no,0,253,255
3,320,24,no,0,141,132
1,55,224,no,0,254,255
1,109,154,no,0,252,254
21,1630,284,no,0,211,211
4,383,676,no,0,422,422
2,508,56,no,0,141,141
4,150,311,no,0,225,223
2,778,618,no,0,431,441
3,149,598,no,0,425,433
1,53,478,no,0,354,355
1,19,225,no,0,255,255
23,1313,147,no,0,212,211
2,66,235,yes,55,245,245
9,587,178,no,0,214,211
14,1643,311,no,0,211,211
4,1169,3,no,0,131,121
5,658,119,no,0,131,121
2,469,935,no,0,531,541
3,382,935,no,0,521,532
5,659,240,no,0,221,221
4,411,375,no,0,322,322
2,109,767,no,0,535,544
5,209,385,no,0,324,323
4,536,18,no,0,131,121
3,259,109,no,0,142,132
3,304,449,no,0,332,332
2,29,742,no,0,435,445
1,274,757,no,0,551,552
3,491,543,no,0,421,431
4,351,382,no,0,323,322
2,383,269,no,0,241,242
2,152,358,no,0,343,343
1,69,394,no,0,353,355
1,249,319,no,0,251,252
1,59,179,no,0,254,255
1,52,158,no,0,254,255
1,31,119,no,0,155,155
19,936,137,no,0,114,111
4,492,464,no,0,321,321
1,65,926,no,0,554,555
1,119,800,no,0,552,554
13,1262,569,no,0,411,411
47,4691,35,no,0,111,111
31,3552,24,no,0,111,111
7,655,261,no,0,221,211
7,388,4,no,0,124,112
5,722,98,no,0,131,121
4,215,277,no,0,225,223
4,492,507,no,0,321,321
5,580,906,no,0,512,521
3,167,798,no,0,524,533
6,314,1,no,0,125,112
4,400,893,no,0,521,522
4,295,392,no,0,323,322
4,212,417,no,0,324,323
8,205,730,no,0,415,413
3,107,610,no,0,425,434
3,489,862,no,0,521,531
1,157,1065,no,0,552,553
4,166,18,no,0,135,123
2,226,728,no,0,432,443
1,49,854,no,0,554,555
4,784,442,no,0,321,321
1,7,847,no,0,555,555
2,278,786,no,0,531,542
2,178,771,no,0,533,543
3,395,101,no,0,141,132
1,19,725,no,0,455,455
1,59,718,no,0,454,455
8,1674,11,no,0,121,111
2,753,571,no,0,431,441
6,259,270,no,0,224,212
2,258,648,no,0,432,442
2,83,148,no,0,245,244
1,79,623,no,0,453,454
2,174,450,no,0,343,343
2,196,116,no,0,143,143
1,209,528,no,0,451,453
1,129,431,no,0,352,354
3,87,119,no,0,145,134
2,98,387,no,0,344,344
1,59,385,no,0,354,355
2,139,112,no,0,144,144
1,209,360,no,0,351,353
4,290,1,no,0,133,122
1,134,329,no,0,252,254
4,242,22,no,0,134,122
1,89,246,no,0,253,254
2,224,197,no,0,242,243
1,214,134,no,0,151,153
2,206,25,no,0,143,143
6,260,120,no,0,125,112
1,12,905,no,0,555,555
2,254,119,no,0,142,142
3,297,43,no,0,142,132
1,89,317,no,0,253,254
1,119,121,no,0,152,154
1,26,102,no,0,155,155
3,117,16,no,0,144,134
1,139,933,no,0,552,554
8,314,220,no,0,215,212
1,102,311,no,0,252,254
1,161,95,no,0,151,153
61,4313,282,no,0,211,211
6,691,828,no,0,512,511
2,198,409,no,0,342,343
2,278,486,no,0,341,342
4,478,759,no,0,521,521
4,666,395,no,0,321,321
2,83,291,no,0,245,244
1,80,791,no,0,553,554
1,188,735,no,0,451,453
4,793,200,no,0,221,221
2,133,277,no,0,243,244
1,39,380,no,0,354,355
2,136,123,no,0,144,144
1,206,353,no,0,351,353
1,22,116,no,0,155,155
1,49,37,no,0,154,155
1,109,14,no,0,152,154
27,2692,185,no,0,211,211
7,576,631,no,0,413,411
2,178,357,no,0,343,343
3,201,469,no,0,333,333
1,44,632,no,0,454,455
2,183,156,no,0,243,243
5,422,77,no,0,132,122
11,1269,753,no,0,511,511
4,346,444,no,0,323,322
4,590,36,no,0,131,121
3,70,1095,no,0,525,535
2,320,24,no,0,141,142
3,227,1095,no,0,523,533
6,669,127,no,0,122,111
1,119,893,no,0,552,554
4,451,275,no,0,222,221
3,136,624,no,0,425,434
1,64,757,no,0,554,555
1,149,746,no,0,452,453
2,654,592,no,0,431,441
1,169,562,no,0,451,453
1,99,547,no,0,453,454
1,44,98,no,0,154,155
4,585,32,no,0,131,121
1,99,18,no,0,153,154
68,4507,32,no,0,111,111
4,308,345,no,0,224,222
4,132,919,no,0,525,524
13,725,18,no,0,114,111
1,147,968,no,0,552,553
4,194,67,no,0,135,123
2,293,717,no,0,431,442
4,397,290,no,0,223,222
1,71,465,no,0,353,355
14,306,182,no,0,215,212
2,127,739,no,0,434,444
3,250,634,no,0,423,432
5,639,11,no,0,131,121
5,81,563,no,0,415,424
3,188,485,no,0,334,333
3,391,25,no,0,141,132
3,224,904,no,0,523,533
7,692,26,no,0,122,111
3,195,788,yes,24,524,533
2,53,401,no,0,345,345
1,89,751,no,0,553,554
1,169,674,no,0,451,453
2,328,351,no,0,341,342
2,138,122,no,0,144,144
36,1285,32,no,0,113,111
11,640,87,no,0,115,111
4,104,939,no,0,525,524
1,19,1113,no,0,555,555
3,395,17,no,0,141,132
1,29,74,no,0,155,155
12,692,568,no,0,412,411
3,584,394,no,0,331,331
2,168,275,no,0,243,243
1,69,612,no,0,453,455
1,99,511,no,0,352,354
1,99,32,no,0,153,154
4,191,1072,no,0,524,523
1,162,926,no,0,552,553
8,229,270,no,0,215,213
2,10,843,no,0,535,545
2,75,534,no,0,435,444
2,328,651,no,0,431,442
1,79,326,no,0,253,254
1,179,17,no,0,151,153
4,199,116,no,0,135,123
3,131,756,no,0,525,534
1,139,921,no,0,552,554
5,537,66,no,0,131,121
2,286,514,no,0,431,442
2,199,260,no,0,242,243
9,452,269,no,0,215,211
7,583,1003,no,0,512,511
3,204,745,no,0,424,433
2,209,42,no,0,143,143
3,507,517,no,0,421,431
2,603,282,no,0,241,241
2,63,675,no,0,435,445
2,148,379,no,0,343,343
4,313,57,yes,10,133,122
1,19,576,no,0,455,455
1,69,568,no,0,453,455
1,177,542,no,0,451,453
1,39,185,no,0,254,255
2,78,79,no,0,145,144
1,29,1026,no,0,555,555
1,39,1008,no,0,555,555
1,29,401,no,0,355,355
2,152,128,no,0,144,143
5,204,840,no,0,515,523
1,59,737,no,0,454,455
1,19,723,no,0,455,455
1,206,512,no,0,351,353
1,19,214,no,0,255,255
